Transaction_ID,Citizen_ID,Ward_ID,Amount,Payment_Method,Status,Date,Tax_Year,Late_Days,Penalty_Applied,Receipt_ID
TXN00040,C018,W05,9675,UPI,Success,2024-08-08,2023-24,0,False,RCP000040
TXN00041,C019,W05,6400,UPI,Success,2024-07-28,2023-24,1,False,RCP000041
TXN00042,C019,W05,6400,UPI,Success,2024-09-22,2023-24,0,False,RCP000042
TXN00043,C020,W02,8600,UPI,Success,2023-09-06,2023-24,2,False,RCP000043
TXN00044,C021,W03,2033,Offline,Success,2023-09-30,2023-24,21,True,RCP000044
TXN00045,C021,W03,2033,Offline,Success,2024-03-16,2023-24,0,False,RCP000045
TXN00046,C021,W03,2033,Offline,Success,2023-11-28,2023-24,0,False,RCP000046
TXN00047,C023,W06,3367,Net Banking,Success,2023-04-26,2023-24,22,True,RCP000047
TXN00048,C023,W06,3367,Net Banking,Success,2024-11-18,2023-24,0,False,RCP000048
TXN00049,C023,W06,3367,Net Banking,Success,2024-02-28,2023-24,0,False,RCP000049
TXN00050,C024,W05,5100,Offline,Success,2024-01-10,2023-24,23,False,RCP000050
TXN00051,C024,W05,5100,Offline,Success,2023-12-23,2023-24,0,False,RCP000051
TXN00052,C024,W05,5100,Offline,Success,2023-07-15,2023-24,0,False,RCP000052
TXN00053,C024,W05,5100,Offline,Success,2023-11-25,2023-24,0,False,RCP000053
TXN00054,C025,W05,19200,UPI,Success,2024-08-31,2023-24,11,True,RCP000054
TXN00055,C026,W06,1717,Offline,Success,2023-11-09,2023-24,18,True,RCP000055
TXN00056,C026,W06,1717,Offline,Success,2023-06-23,2023-24,0,False,RCP000056
TXN00057,C026,W06,1717,Offline,Success,2023-12-25,2023-24,0,False,RCP000057
TXN00058,C027,W04,1100,Net Banking,Success,2024-09-30,2023-24,12,True,RCP000058
TXN00059,C028,W01,856,Net Banking,Success,2024-03-27,2023-24,7,True,RCP000059
TXN00060,C028,W01,856,Net Banking,Success,2023-02-15,2023-24,0,False,RCP000060
TXN00061,C028,W01,856,Net Banking,Success,2023-08-28,2023-24,0,False,RCP000061
TXN00062,C028,W01,856,Net Banking,Success,2023-07-24,2023-24,0,False,RCP000062
TXN00063,C030,W02,14550,Offline,Success,2023-06-09,2023-24,45,False,RCP000063
TXN00064,C031,W04,2458,UPI,Success,2023-04-26,2023-24,0,True,RCP000064
TXN00065,C031,W04,2458,UPI,Success,2023-02-25,2023-24,0,False,RCP000065
TXN00066,C031,W04,2458,UPI,Success,2023-09-06,2023-24,0,False,RCP000066
TXN00067,C032,W05,231,Credit Card,Success,2023-10-22,2023-24,39,False,RCP000067
TXN00068,C032,W05,231,Credit Card,Success,2023-01-15,2023-24,0,False,RCP000068
TXN00069,C032,W05,231,Credit Card,Success,2023-12-18,2023-24,0,False,RCP000069
TXN00070,C032,W05,231,Credit Card,Success,2024-12-11,2023-24,0,False,RCP000070
TXN00071,C033,W07,5350,Credit Card,Success,2023-11-09,2023-24,17,True,RCP000071
TXN00072,C033,W07,5350,Credit Card,Success,2024-04-05,2023-24,0,False,RCP000072
TXN00073,C034,W02,6600,UPI,Success,2023-01-24,2023-24,5,False,RCP000073
TXN00074,C035,W02,14700,Debit Card,Success,2023-08-03,2023-24,3,False,RCP000074
TXN00075,C036,W05,7450,UPI,Success,2023-07-28,2023-24,5,False,RCP000075
TXN00076,C036,W05,7450,UPI,Success,2024-07-13,2023-24,0,False,RCP000076
TXN00077,C037,W08,2031,Offline,Success,2024-07-15,2023-24,29,True,RCP000077
TXN00078,C037,W08,2031,Offline,Success,2024-05-09,2023-24,0,False,RCP000078
TXN00079,C037,W08,2031,Offline,Success,2024-09-29,2023-24,0,False,RCP000079
TXN00080,C037,W08,2031,Offline,Success,2023-05-25,2023-24,0,False,RCP000080
TXN00081,C038,W08,9000,UPI,Success,2024-01-21,2023-24,17,True,RCP000081
TXN00082,C038,W08,9000,UPI,Success,2024-08-19,2023-24,0,False,RCP000082
TXN00083,C039,W07,4100,UPI,Success,2023-09-19,2023-24,44,True,RCP000083
TXN00084,C039,W07,4100,UPI,Success,2023-06-24,2023-24,0,False,RCP000084
TXN00085,C039,W07,4100,UPI,Success,2023-03-03,2023-24,0,False,RCP000085
TXN00086,C040,W06,8000,UPI,Success,2023-07-25,2023-24,34,False,RCP000086
TXN00087,C041,W05,3650,UPI,Success,2023-02-24,2023-24,3,True,RCP000087
TXN00088,C041,W05,3650,UPI,Success,2024-04-21,2023-24,0,False,RCP000088
TXN00089,C041,W05,3650,UPI,Success,2024-11-01,2023-24,0,False,RCP000089
TXN00090,C041,W05,3650,UPI,Success,2023-01-09,2023-24,0,False,RCP000090
TXN00091,C042,W05,6833,UPI,Success,2024-02-02,2023-24,3,False,RCP000091
TXN00092,C042,W05,6833,UPI,Success,2024-11-07,2023-24,0,False,RCP000092
TXN00093,C042,W05,6833,UPI,Success,2023-10-05,2023-24,0,False,RCP000093
TXN00094,C043,W02,9750,Net Banking,Success,2023-04-21,2023-24,4,False,RCP000094
TXN00095,C043,W02,9750,Net Banking,Success,2023-01-20,2023-24,0,False,RCP000095
TXN00096,C044,W02,15400,UPI,Success,2024-10-26,2023-24,3,False,RCP000096
TXN00097,C045,W05,5633,Credit Card,Success,2023-08-25,2023-24,1,False,RCP000097
TXN00098,C045,W05,5633,Credit Card,Success,2024-01-25,2023-24,0,False,RCP000098
TXN00099,C045,W05,5633,Credit Card,Success,2024-06-04,2023-24,0,False,RCP000099
TXN00100,C045,W05,5633,Credit Card,Success,2024-12-27,2023-24,0,False,RCP000100
TXN00101,C045,W05,5633,Credit Card,Success,2023-04-12,2023-24,0,False,RCP000101
TXN00102,C045,W05,5633,Credit Card,Success,2023-11-20,2023-24,0,False,RCP000102
TXN00103,C046,W03,388,Net Banking,Success,2024-09-03,2023-24,19,True,RCP000103
TXN00104,C046,W03,388,Net Banking,Success,2024-06-28,2023-24,0,False,RCP000104
TXN00105,C046,W03,388,Net Banking,Success,2023-04-01,2023-24,0,False,RCP000105
TXN00106,C046,W03,388,Net Banking,Success,2023-07-10,2023-24,0,False,RCP000106
TXN00107,C046,W03,388,Net Banking,Success,2023-07-23,2023-24,0,False,RCP000107
TXN00108,C046,W03,388,Net Banking,Success,2024-05-27,2023-24,0,False,RCP000108
TXN00109,C047,W01,7850,Net Banking,Success,2024-07-28,2023-24,0,False,RCP000109
TXN00110,C047,W01,7850,Net Banking,Success,2024-12-30,2023-24,0,False,RCP000110
TXN00111,C047,W01,7850,Net Banking,Success,2023-01-23,2023-24,0,False,RCP000111
TXN00112,C047,W01,7850,Net Banking,Success,2023-02-10,2023-24,0,False,RCP000112
TXN00113,C048,W05,20400,Offline,Success,2024-06-26,2023-24,1,False,RCP000113
TXN00114,C049,W08,3200,Offline,Success,2023-12-08,2023-24,34,True,RCP000114
TXN00115,C049,W08,3200,Offline,Success,2024-05-16,2023-24,0,False,RCP000115
TXN00116,C051,W07,888,Net Banking,Success,2023-06-10,2023-24,17,True,RCP000116
TXN00117,C051,W07,888,Net Banking,Success,2023-01-19,2023-24,0,False,RCP000117
TXN00118,C052,W03,2760,UPI,Success,2024-12-01,2023-24,19,True,RCP000118
TXN00119,C052,W03,2760,UPI,Success,2023-12-27,2023-24,0,False,RCP000119
TXN00120,C052,W03,2760,UPI,Success,2023-12-30,2023-24,0,False,RCP000120
TXN00121,C052,W03,2760,UPI,Success,2024-10-02,2023-24,0,False,RCP000121
TXN00122,C052,W03,2760,UPI,Success,2023-11-06,2023-24,0,False,RCP000122
TXN00123,C053,W07,7850,Net Banking,Success,2024-05-28,2023-24,2,False,RCP000123
TXN00124,C053,W07,7850,Net Banking,Success,2023-10-10,2023-24,0,False,RCP000124
TXN00125,C054,W06,41100,Debit Card,Success,2024-10-02,2023-24,0,False,RCP000125
TXN00126,C056,W02,7400,UPI,Success,2024-02-01,2023-24,33,True,RCP000126
TXN00127,C057,W07,4950,Offline,Success,2024-07-22,2023-24,3,False,RCP000127
TXN00128,C057,W07,4950,Offline,Success,2023-10-14,2023-24,0,False,RCP000128
TXN00129,C057,W07,4950,Offline,Success,2023-08-19,2023-24,0,False,RCP000129
TXN00130,C057,W07,4950,Offline,Success,2023-06-05,2023-24,0,False,RCP000130
TXN00131,C058,W07,8475,Net Banking,Success,2024-02-07,2023-24,36,True,RCP000131
TXN00132,C058,W07,8475,Net Banking,Success,2024-11-03,2023-24,0,False,RCP000132
TXN00133,C059,W01,22850,UPI,Success,2023-03-31,2023-24,12,True,RCP000133
TXN00134,C060,W08,4350,UPI,Success,2024-06-17,2023-24,4,False,RCP000134
TXN00135,C060,W08,4350,UPI,Success,2024-11-25,2023-24,0,False,RCP000135
TXN00136,C060,W08,4350,UPI,Success,2024-09-19,2023-24,0,False,RCP000136
TXN00137,C060,W08,4350,UPI,Success,2024-10-02,2023-24,0,False,RCP000137
TXN00138,C063,W05,4350,Credit Card,Success,2024-03-03,2023-24,8,True,RCP000138
TXN00139,C063,W05,4350,Credit Card,Success,2023-09-04,2023-24,0,False,RCP000139
TXN00140,C064,W02,15350,UPI,Success,2024-03-12,2023-24,23,True,RCP000140
TXN00141,C065,W02,5920,UPI,Success,2024-09-11,2023-24,8,False,RCP000141
TXN00142,C065,W02,5920,UPI,Success,2023-12-04,2023-24,0,False,RCP000142
TXN00143,C065,W02,5920,UPI,Success,2024-04-04,2023-24,0,False,RCP000143
TXN00144,C065,W02,5920,UPI,Success,2024-07-09,2023-24,0,False,RCP000144
TXN00145,C065,W02,5920,UPI,Success,2023-05-15,2023-24,0,False,RCP000145
TXN00146,C067,W03,1925,Net Banking,Success,2024-10-30,2023-24,6,True,RCP000146
TXN00147,C067,W03,1925,Net Banking,Success,2023-05-22,2023-24,0,False,RCP000147
TXN00148,C068,W01,5525,Credit Card,Success,2023-05-22,2023-24,2,False,RCP000148
TXN00149,C068,W01,5525,Credit Card,Success,2023-11-13,2023-24,0,False,RCP000149
TXN00150,C068,W01,5525,Credit Card,Success,2024-12-06,2023-24,0,False,RCP000150
TXN00151,C068,W01,5525,Credit Card,Success,2024-12-23,2023-24,0,False,RCP000151
TXN00152,C070,W08,1600,Net Banking,Success,2024-03-16,2023-24,0,False,RCP000152
TXN00153,C070,W08,1600,Net Banking,Success,2023-05-29,2023-24,0,False,RCP000153
TXN00154,C070,W08,1600,Net Banking,Success,2024-11-02,2023-24,0,False,RCP000154
TXN00155,C070,W08,1600,Net Banking,Success,2024-08-01,2023-24,0,False,RCP000155
TXN00156,C072,W04,5550,Net Banking,Success,2023-11-22,2023-24,27,True,RCP000156
TXN00157,C072,W04,5550,Net Banking,Success,2023-03-11,2023-24,0,False,RCP000157
TXN00158,C073,W05,24200,UPI,Success,2023-07-08,2023-24,5,False,RCP000158
TXN00159,C074,W06,7650,UPI,Success,2023-05-30,2023-24,39,True,RCP000159
TXN00160,C075,W08,5650,Net Banking,Success,2023-11-23,2023-24,42,False,RCP000160
TXN00161,C076,W05,5700,UPI,Success,2024-02-26,2023-24,4,False,RCP000161
TXN00162,C076,W05,5700,UPI,Success,2023-11-07,2023-24,0,False,RCP000162
TXN00163,C077,W08,7650,UPI,Success,2024-10-14,2023-24,20,True,RCP000163
TXN00164,C077,W08,7650,UPI,Success,2023-10-08,2023-24,0,False,RCP000164
TXN00165,C078,W07,6000,UPI,Success,2023-07-12,2023-24,40,True,RCP000165
TXN00166,C079,W05,2933,Offline,Success,2023-05-15,2023-24,4,False,RCP000166
TXN00167,C079,W05,2933,Offline,Success,2023-07-09,2023-24,0,False,RCP000167
TXN00168,C079,W05,2933,Offline,Success,2023-01-27,2023-24,0,False,RCP000168
TXN00169,C080,W08,11000,UPI,Success,2024-09-12,2023-24,2,False,RCP000169
TXN00170,C080,W08,11000,UPI,Success,2024-08-03,2023-24,0,False,RCP000170
TXN00171,C081,W01,10200,Credit Card,Success,2024-09-02,2023-24,2,False,RCP000171
TXN00172,C082,W03,3525,UPI,Success,2023-08-25,2023-24,21,True,RCP000172
TXN00173,C083,W03,3800,UPI,Success,2024-01-03,2023-24,24,True,RCP000173
TXN00174,C083,W03,3800,UPI,Success,2023-03-23,2023-24,0,False,RCP000174
TXN00175,C083,W03,3800,UPI,Success,2024-12-05,2023-24,0,False,RCP000175
TXN00176,C083,W03,3800,UPI,Success,2024-05-03,2023-24,0,False,RCP000176
TXN00177,C084,W01,4950,UPI,Success,2024-05-29,2023-24,18,False,RCP000177
TXN00178,C085,W03,1744,Net Banking,Success,2024-12-30,2023-24,28,False,RCP000178
TXN00179,C085,W03,1744,Net Banking,Success,2024-10-27,2023-24,0,False,RCP000179
TXN00180,C085,W03,1744,Net Banking,Success,2024-01-18,2023-24,0,False,RCP000180
TXN00181,C085,W03,1744,Net Banking,Success,2023-07-08,2023-24,0,False,RCP000181
TXN00182,C086,W08,10500,Net Banking,Success,2024-05-18,2023-24,16,True,RCP000182
TXN00183,C088,W07,6250,UPI,Success,2023-05-21,2023-24,0,False,RCP000183
TXN00184,C088,W07,6250,UPI,Success,2023-06-17,2023-24,0,False,RCP000184
TXN00185,C088,W07,6250,UPI,Success,2023-07-17,2023-24,0,False,RCP000185
TXN00186,C088,W07,6250,UPI,Success,2023-08-20,2023-24,0,False,RCP000186
TXN00187,C090,W02,36800,Net Banking,Success,2024-02-23,2023-24,39,False,RCP000187
TXN00188,C091,W02,8675,Net Banking,Success,2023-10-04,2023-24,23,True,RCP000188
TXN00189,C091,W02,8675,Net Banking,Success,2024-02-27,2023-24,0,False,RCP000189
TXN00190,C092,W02,3225,Offline,Success,2024-11-18,2023-24,44,False,RCP000190
TXN00191,C092,W02,3225,Offline,Success,2023-07-27,2023-24,0,False,RCP000191
TXN00192,C092,W02,3225,Offline,Success,2023-07-29,2023-24,0,False,RCP000192
TXN00193,C092,W02,3225,Offline,Success,2023-03-09,2023-24,0,False,RCP000193
TXN00194,C093,W01,1256,UPI,Success,2024-03-25,2023-24,41,True,RCP000194
TXN00195,C093,W01,1256,UPI,Success,2024-09-23,2023-24,0,False,RCP000195
TXN00196,C093,W01,1256,UPI,Success,2024-05-16,2023-24,0,False,RCP000196
TXN00197,C093,W01,1256,UPI,Success,2024-12-05,2023-24,0,False,RCP000197
TXN00198,C094,W06,3780,Net Banking,Success,2024-04-13,2023-24,33,False,RCP000198
TXN00199,C094,W06,3780,Net Banking,Success,2023-09-10,2023-24,0,False,RCP000199
TXN00200,C094,W06,3780,Net Banking,Success,2024-03-13,2023-24,0,False,RCP000200
TXN00201,C094,W06,3780,Net Banking,Success,2024-02-19,2023-24,0,False,RCP000201
TXN00202,C094,W06,3780,Net Banking,Success,2023-02-12,2023-24,0,False,RCP000202
TXN00203,C095,W03,7850,UPI,Success,2023-11-17,2023-24,3,False,RCP000203
TXN00204,C095,W03,7850,UPI,Success,2024-02-08,2023-24,0,False,RCP000204
TXN00205,C098,W07,2433,Credit Card,Success,2024-06-17,2023-24,31,False,RCP000205
TXN00206,C098,W07,2433,Credit Card,Success,2023-04-22,2023-24,0,False,RCP000206
TXN00207,C098,W07,2433,Credit Card,Success,2024-04-07,2023-24,0,False,RCP000207
TXN00208,C099,W02,24900,UPI,Success,2023-02-13,2023-24,45,True,RCP000208
TXN00209,C100,W08,4400,UPI,Success,2024-06-15,2023-24,5,False,RCP000209
TXN00210,C100,W08,4400,UPI,Success,2024-07-04,2023-24,0,False,RCP000210
TXN00211,C100,W08,4400,UPI,Success,2024-02-10,2023-24,0,False,RCP000211
TXN00212,C100,W08,4400,UPI,Success,2023-02-10,2023-24,0,False,RCP000212
TXN00213,C104,W07,1000,Credit Card,Success,2024-06-12,2023-24,5,False,RCP000213
TXN00214,C104,W07,1000,Credit Card,Success,2024-10-07,2023-24,0,False,RCP000214
TXN00215,C104,W07,1000,Credit Card,Success,2023-02-20,2023-24,0,False,RCP000215
TXN00216,C104,W07,1000,Credit Card,Success,2023-07-14,2023-24,0,False,RCP000216
TXN00217,C104,W07,1000,Credit Card,Success,2023-10-26,2023-24,0,False,RCP000217
TXN00218,C104,W07,1000,Credit Card,Success,2024-03-26,2023-24,0,False,RCP000218
TXN00219,C106,W04,2250,Net Banking,Success,2023-11-08,2023-24,1,False,RCP000219
TXN00220,C106,W04,2250,Net Banking,Success,2023-10-20,2023-24,0,False,RCP000220
TXN00221,C106,W04,2250,Net Banking,Success,2024-04-17,2023-24,0,False,RCP000221
TXN00222,C106,W04,2250,Net Banking,Success,2023-06-20,2023-24,0,False,RCP000222
TXN00223,C106,W04,2250,Net Banking,Success,2024-03-08,2023-24,0,False,RCP000223
TXN00224,C106,W04,2250,Net Banking,Success,2023-10-29,2023-24,0,False,RCP000224
TXN00225,C107,W08,15233,UPI,Success,2024-12-07,2023-24,3,True,RCP000225
TXN00226,C107,W08,15233,UPI,Success,2024-06-13,2023-24,0,False,RCP000226
TXN00227,C107,W08,15233,UPI,Success,2023-05-26,2023-24,0,False,RCP000227
TXN00228,C108,W03,8750,Net Banking,Success,2024-10-23,2023-24,4,True,RCP000228
TXN00229,C108,W03,8750,Net Banking,Success,2024-04-07,2023-24,0,False,RCP000229
TXN00230,C108,W03,8750,Net Banking,Success,2023-04-03,2023-24,0,False,RCP000230
TXN00231,C108,W03,8750,Net Banking,Success,2024-05-27,2023-24,0,False,RCP000231
TXN00232,C109,W07,4100,UPI,Success,2023-07-04,2023-24,0,False,RCP000232
TXN00233,C109,W07,4100,UPI,Success,2024-08-22,2023-24,0,False,RCP000233
TXN00234,C109,W07,4100,UPI,Success,2024-12-13,2023-24,0,False,RCP000234
TXN00235,C109,W07,4100,UPI,Success,2024-07-13,2023-24,0,False,RCP000235
TXN00236,C110,W03,3875,Credit Card,Success,2024-02-07,2023-24,34,True,RCP000236
TXN00237,C112,W04,3500,Net Banking,Success,2023-11-28,2023-24,39,False,RCP000237
TXN00238,C112,W04,3500,Net Banking,Success,2024-04-06,2023-24,0,False,RCP000238
TXN00239,C113,W08,5775,Credit Card,Success,2023-07-03,2023-24,43,True,RCP000239
TXN00240,C113,W08,5775,Credit Card,Success,2024-04-09,2023-24,0,False,RCP000240
TXN00241,C114,W04,5150,Net Banking,Success,2024-04-10,2023-24,17,False,RCP000241
TXN00242,C114,W04,5150,Net Banking,Success,2023-04-03,2023-24,0,False,RCP000242
TXN00243,C116,W04,24200,Offline,Success,2023-11-28,2023-24,1,False,RCP000243
TXN00244,C117,W05,1225,Debit Card,Success,2023-05-07,2023-24,11,False,RCP000244
TXN00245,C117,W05,1225,Debit Card,Success,2023-04-04,2023-24,0,False,RCP000245
TXN00246,C118,W01,1294,Credit Card,Success,2024-12-24,2023-24,8,True,RCP000246
TXN00247,C118,W01,1294,Credit Card,Success,2024-04-05,2023-24,0,False,RCP000247
TXN00248,C118,W01,1294,Credit Card,Success,2024-10-11,2023-24,0,False,RCP000248
TXN00249,C118,W01,1294,Credit Card,Success,2024-01-07,2023-24,0,False,RCP000249
TXN00250,C119,W08,4050,Net Banking,Success,2024-06-20,2023-24,5,False,RCP000250
TXN00251,C119,W08,4050,Net Banking,Success,2024-12-25,2023-24,0,False,RCP000251
TXN00252,C119,W08,4050,Net Banking,Success,2024-01-29,2023-24,0,False,RCP000252
TXN00253,C119,W08,4050,Net Banking,Success,2024-06-07,2023-24,0,False,RCP000253
TXN00254,C120,W02,4150,UPI,Success,2024-01-23,2023-24,2,False,RCP000254
TXN00255,C120,W02,4150,UPI,Success,2024-07-17,2023-24,0,False,RCP000255
TXN00256,C122,W03,8900,UPI,Success,2023-02-14,2023-24,15,False,RCP000256
TXN00257,C122,W03,8900,UPI,Success,2023-06-24,2023-24,0,False,RCP000257
TXN00258,C123,W02,24900,Net Banking,Success,2024-08-02,2023-24,43,True,RCP000258
TXN00259,C124,W01,2938,UPI,Success,2023-06-16,2023-24,16,True,RCP000259
TXN00260,C124,W01,2938,UPI,Success,2023-05-29,2023-24,0,False,RCP000260
TXN00261,C124,W01,2938,UPI,Success,2023-07-03,2023-24,0,False,RCP000261
TXN00262,C124,W01,2938,UPI,Success,2024-12-30,2023-24,0,False,RCP000262
TXN00263,C126,W02,13100,UPI,Success,2024-03-05,2023-24,1,False,RCP000263
TXN00264,C126,W02,13100,UPI,Success,2023-11-12,2023-24,0,False,RCP000264
TXN00265,C126,W02,13100,UPI,Success,2023-11-13,2023-24,0,False,RCP000265
TXN00266,C128,W01,1125,Offline,Success,2023-10-23,2023-24,8,True,RCP000266
TXN00267,C128,W01,1125,Offline,Success,2024-10-03,2023-24,0,False,RCP000267
TXN00268,C129,W03,8350,Credit Card,Success,2023-05-01,2023-24,5,False,RCP000268
TXN00269,C129,W03,8350,Credit Card,Success,2023-05-15,2023-24,0,False,RCP000269
TXN00270,C129,W03,8350,Credit Card,Success,2023-07-27,2023-24,0,False,RCP000270
TXN00271,C129,W03,8350,Credit Card,Success,2023-01-04,2023-24,0,False,RCP000271
TXN00272,C130,W07,2220,Offline,Success,2023-01-13,2023-24,29,True,RCP000272
TXN00273,C130,W07,2220,Offline,Success,2024-04-14,2023-24,0,False,RCP000273
TXN00274,C130,W07,2220,Offline,Success,2024-05-24,2023-24,0,False,RCP000274
TXN00275,C130,W07,2220,Offline,Success,2024-05-25,2023-24,0,False,RCP000275
TXN00276,C130,W07,2220,Offline,Success,2024-07-10,2023-24,0,False,RCP000276
TXN00277,C131,W05,1425,UPI,Success,2024-09-14,2023-24,5,False,RCP000277
TXN00278,C131,W05,1425,UPI,Success,2024-05-20,2023-24,0,False,RCP000278
TXN00279,C131,W05,1425,UPI,Success,2023-09-01,2023-24,0,False,RCP000279
TXN00280,C131,W05,1425,UPI,Success,2023-08-11,2023-24,0,False,RCP000280
TXN00281,C132,W06,194,Credit Card,Success,2024-04-09,2023-24,44,True,RCP000281
TXN00282,C132,W06,194,Credit Card,Success,2024-02-24,2023-24,0,False,RCP000282
TXN00283,C132,W06,194,Credit Card,Success,2024-03-28,2023-24,0,False,RCP000283
TXN00284,C132,W06,194,Credit Card,Success,2023-03-23,2023-24,0,False,RCP000284
TXN00285,C134,W04,2550,UPI,Success,2023-09-08,2023-24,24,True,RCP000285
TXN00286,C134,W04,2550,UPI,Success,2024-07-14,2023-24,0,False,RCP000286
TXN00287,C135,W08,1690,Net Banking,Success,2024-09-26,2023-24,3,False,RCP000287
TXN00288,C135,W08,1690,Net Banking,Success,2024-10-05,2023-24,0,False,RCP000288
TXN00289,C135,W08,1690,Net Banking,Success,2024-07-24,2023-24,0,False,RCP000289
TXN00290,C135,W08,1690,Net Banking,Success,2023-08-01,2023-24,0,False,RCP000290
TXN00291,C135,W08,1690,Net Banking,Success,2023-02-20,2023-24,0,False,RCP000291
TXN00292,C136,W04,1088,Net Banking,Success,2023-06-01,2023-24,30,True,RCP000292
TXN00293,C136,W04,1088,Net Banking,Success,2023-02-26,2023-24,0,False,RCP000293
TXN00294,C136,W04,1088,Net Banking,Success,2024-10-30,2023-24,0,False,RCP000294
TXN00295,C136,W04,1088,Net Banking,Success,2023-12-24,2023-24,0,False,RCP000295
TXN00296,C138,W06,9400,UPI,Success,2023-05-29,2023-24,5,False,RCP000296
TXN00297,C139,W01,7600,Debit Card,Success,2024-11-14,2023-24,33,False,RCP000297
TXN00298,C140,W05,7700,Credit Card,Success,2023-12-06,2023-24,3,False,RCP000298
TXN00299,C141,W07,13133,Net Banking,Success,2023-02-20,2023-24,2,False,RCP000299
TXN00300,C141,W07,13133,Net Banking,Success,2023-04-22,2023-24,0,False,RCP000300
TXN00301,C141,W07,13133,Net Banking,Success,2024-03-02,2023-24,0,False,RCP000301
TXN00302,C143,W04,2350,UPI,Success,2023-06-15,2023-24,5,True,RCP000302
TXN00303,C144,W03,17625,UPI,Success,2024-09-17,2023-24,24,True,RCP000303
TXN00304,C145,W03,11325,Net Banking,Success,2024-04-11,2023-24,30,True,RCP000304
TXN00305,C146,W03,4675,Credit Card,Success,2023-02-06,2023-24,41,True,RCP000305
TXN00306,C147,W03,5450,UPI,Success,2023-11-03,2023-24,25,False,RCP000306
TXN00307,C147,W03,5450,UPI,Success,2023-11-27,2023-24,0,False,RCP000307
TXN00308,C147,W03,5450,UPI,Success,2024-01-13,2023-24,0,False,RCP000308
TXN00309,C147,W03,5450,UPI,Success,2024-01-24,2023-24,0,False,RCP000309
